,lin,rest_name,rest_type,loc,dine_rating,dine_reviews,delivery_rating,delivery_reviews,cuisine,cost,liked
1695,https://www.zomato.com/pune/navaratanavegsatararoad,"Navaratana Veg
                                    ",Casual Dining,Satara Road,3.9,228,4.1,2641,"Chinese,South Indian,North Indian,",500,"Dal Tada, Medu Vada, Naan, Thali, Haa Noodles"
1696,https://www.zomato.com/pune/naturalicecreambaner,"Natural Ice Cream
                                    ",Dessert Parlor,Baner,4.1,221,4.6,1001,"Desserts,Ice Cream,",150,"esar Pista, Chaat, Fruit Ice Cream, Mango Ice Cream, Waffles, Choco Almond, Gajar Halwa"
1697,https://www.zomato.com/pune/naturalicecreamvimannagar,"Natural Ice Cream
                                    ",Dessert Parlor,Viman Nagar,4.3,318,4.6,776,"Desserts,Ice Cream,",150,"Waffle Cone, Mango Sundae, Coffee, Mango Ice Cream, Sitaphal Ice Cream, Choco Almond, Fruit Ice Cream"
1698,https://www.zomato.com/pune/naturalicecreamnigdi,"Natural Ice Cream
                                    ",Dessert Parlor,Nigdi,4.2,203,4.6,840,"Desserts,Ice Cream,",150,Waffles
1699,https://www.zomato.com/pune/naturalicecreamwanowrie,"Natural Ice Cream
                                    ",Dessert Parlor,Wanowrie,4,169,3.9,107,"Desserts,Ice Cream,",150,"Waffle Cone, Roasted Almonds"
1700,https://www.zomato.com/pune/naturalicecream1pimplesaudagar,"Natural Ice Cream
                                    ",Dessert Parlor,Pimple Saudagar,4.2,286,4.6,2478,"Desserts,Ice Cream,",150,"Fruit Ice Cream, Coffee Walnut, Mango Ice Cream"
1701,https://www.zomato.com/pune/naturalicecreamothrud,"Natural Ice Cream
                                    ",Dessert Parlor,othrud,4.3,524,4.5,5228,"Desserts,Ice Cream,",150,"Waffle Cone, Mango Ice Cream, Tender Coconut Ice Cream, Roasted Almond Ice Cream, Sitaphal Ice Cream"
1702,https://www.zomato.com/pune/naturalicecreamondhwa,"Natural Ice Cream
                                    ",Dessert Parlor,ondhwa,3.2,64,4.5,201,"Desserts,Ice Cream,",150,
1703,https://www.zomato.com/pune/naturalicecreamoregaonpar,"Natural Ice Cream
                                    ",Dessert Parlor,oregaon Par,4.4,410,4.7,3124,"Desserts,Ice Cream,",150,"Waffle Cone, Tender Coconut Ice Cream, Choco Almond, Waffles, Roasted Almonds, Mango Ice Cream, Ice Cream Strawberry"
1704,https://www.zomato.com/pune/naturalicecreamhadapsar,"Natural Ice Cream
                                    ",Dessert Parlor,Hadapsar,4.2,301,4.6,1593,"Desserts,Ice Cream,",150,"Mango Ice Cream, esar Pista, Sitaphal Ice Cream, Custard Apple, Waffle Cone, Malai orma"
1705,https://www.zomato.com/pune/naturalicecreamhinjawadi,"Natural Ice Cream
                                    ",Dessert Parlor,Hinjawadi,4.3,293,4.4,1022,"Desserts,Ice Cream,",150,"esar Pista, Tender Coconut Ice Cream, Chocolate Almond, Halwa"
1706,https://www.zomato.com/pune/naturalicecreamjmroad,"Natural Ice Cream
                                    ",Dessert Parlor,JM Road,4.2,362,4.6,1072,"Desserts,Ice Cream,",150,"Waffle Cone, Coffee Walnut, Choco Cream, Mango Ice Cream, Sitaphal Ice Cream, Chocolate Icecreams"
1707,https://www.zomato.com/pune/naturalicecreamaundh,"Natural Ice Cream
                                    ",Dessert Parlor,"Ozone Mall, Aundh",4.2,277,4.7,628,"Desserts,Ice Cream,",150,"Mango Ice Cream, Waffle Cone, Chocolate Almond, Custard Apple, Waffles"
1708,https://www.zomato.com/pune/naturalicecreamcamparea,"Natural Ice Cream
                                    ",Dessert Parlor,Camp Area,4.1,190,4.6,1223,"Desserts,Ice Cream,",150,"Tender Coconut Ice Cream, Waffle Cone, Waffles, Choco Almond, Custard Apple"
1709,https://www.zomato.com/pune/naturalicecreamchinchwad,"Natural Ice Cream
                                    ",Dessert Parlor,"Premier Plaza, Chinchwad",3.8,129,4.6,738,"Desserts,Ice Cream,",150,"Custard Apple, Roasted Almonds"
1710,https://www.zomato.com/pune/naturalicecream1satararoad,"Natural Ice Cream
                                    ",Dessert Parlor,Satara Road,3.4,67,4.5,484,"Desserts,Ice Cream,",150,
1711,https://www.zomato.com/pune/naturalicecream1bavdhan,"Natural Ice Cream
                                    ",Dessert Parlor,Bavdhan,3.9,24,,,"Desserts,Ice Cream,",150,
1712,https://www.zomato.com/pune/wadeshwaralyaninagar,"Wadeshwar
                                    ",Casual Dining,alyani Nagar,3.7,607,,,"Beverages,Fast Food,Sandwich,South Indian,",400,"Pav Bhaji, Filtered Coffee, Mulagapudi Idli, Mysore Masala Dosa, Set Dosa, Cold Coffee, Misal"
1713,https://www.zomato.com/pune/wadeshwarfcroad,"Wadeshwar
                                    ",Quic Bites,FC Road,4.1,2019,,,"Beverages,Fast Food,Sandwich,South Indian,",400,"Pav Bhaji, Ghee Idli, Filtered Coffee, Set Dosa, Masala Dosa, Dahi Vada, Vada Pav"
1714,https://www.zomato.com/pune/wadeshwarbaner,"Wadeshwar
                                    ",Quic Bites,Baner,4,480,,,"Beverages,Fast Food,Sandwich,South Indian,",400,"Filtered Coffee, Pav Bhaji, Upma, Mysore Masala Dosa, Misal Pav, Medu Vada, Tea"
1715,https://www.zomato.com/pune/wadeshwarlawcollegeroad,"Wadeshwar
                                    ",Quic Bites,Law College Road,3.6,409,,,"Beverages,Fast Food,Sandwich,South Indian,",400,"Pav Bhaji, Filtered Coffee, Idli, Mysore Masala Dosa, Set Dosa, Vada, Chole"
1716,https://www.zomato.com/pune/wadeshwarbibvewadi,"Wadeshwar
                                    ",Quic Bites,Bibvewadi,2.9,205,,,"Street Food,Fast Food,South Indian,",500,"Masala Dosa, othimbir Vadi, Coffee, Idli, Aloo Paratha, Set Dosa, Misal"
1717,https://www.zomato.com/pune/wadeshwarbhuvanaundh,"Wadeshwar Bhuvan
                                    ",Food Court,"Westend Mall, Aundh",3.5,121,,,"South Indian,",550,"Pav Bhaji, Filtered Coffee, Ghee Idli, Set Dosa, Tea, othimbir Vadi, Vada"
1718,https://www.zomato.com/pune/wadeshwarbhuvansenapatibapatroad,"Wadeshwar Bhuvan
                                    ",Food Court,"The Pavillion, Senapati Bapat Road",3.5,63,,,"Beverages,Healthy Food,Fast Food,South Indian,",300,"Filtered Coffee, Ghee Idli, othimbir Vadi, Ghee Masala Dosa, Pav Bhaji"
